DotNetFramework
FireFox
IISServer
IISSite
InternetExplorer
Excel2013
Outlook2013
PowerPoint2013
Word2013
OracleJRE
SqlServer-2012-Database
SqlServer-2012-Instance
SqlServer-2016-Instance
WindowsClient
WindowsDefender
WindowsDNSServer
WindowsFirewall
WindowsServer-DC
WindowsServer-MS
